review_id,Review,relabel_group,human_vệ sinh_label,human_đồ ăn thức uống_label,human_khách sạn_label,human_vị trí_label,human_phòng ốc_label,human_dịch vụ_label
1064371919,khách_sạn ổn phòng sạch_sẽ ạ có_điều hơi xa trung_tâm thành_phố ạ,random,1,0,0,2,0,0
846491520,chỉ cách bãi biển 150km và có nhiều nhà hàg trong khu du_lịch thích quá,hard,0,0,0,1,0,0
527344267,khách_sạn ở rất xa tất_cả mọi người đi công_tác gần đó thì ở được chứ đi chơi không nên vào khách_sạn rất xa ở khu này giống như miền quê đi lòng_vòng kể đồ_ăn cũng khó khách_sạn không có bàn_ủi cho mượn muốn ủi đồ thì khách_sạn giúp chuyển ra ngoài quy_trình rất rườm_rà nhân_viên thì rập_khuôn cứ mỗi lần hỏi thì khách_sạn đều nói do quy_định bên em nghe mệt luôn mình đến nhận phòng lúc 10h khách_sạn lúc đầu bảo phụ_thu 50 phí sau khi trao_đổi thì thu 30 phí khách_sạn bắt thanh_toán hết tiền phòng mình ở 2 đêm trước khi vào ở chứ không phải tất sau khi trả phòng_không biết có sợ khách không tất không mà quy_trình thấy rắc_rối quá khách_sạn 3 sao mà không có nổi cái dù trời mưa mấy hôm hỏi khách_sạn mượn dù không có nói_chung là ở chán rườm_rà mọi người nên cân_nhắc,hard,0,0,2,2,0,2
130219046,khách_sạn bình_dân này nằm ở vị_trí hơi xa trung_tâm nhưng rất dễ tìm nhà hàg gần đó nhà_vệ_sinh thoát nước kém và thường_xuyên bị ngập các lựa_chọn bữa sáng hạn_chế nhưng chất_lượng đồ_ăn ở mức chấp_nhận được độ sạch_sẽ ở mức chấp_nhận được đối_với những kỳ nghỉ ngắn ngày,hard,1,1,0,1,2,0
1062672422,menu an moi ngay deu gan nhu nhau không co thay doi,hard,0,2,0,0,0,0
846684645,khách_sạn có nhiều điểm nhấn bằng gỗ sảnh và lối vào rất thân_thiện khu_vực chung và phòng ở sạch_sẽ internet wifi tốt với một bộ phát trong mỗi phòng mà tôi đã ở tốc_độ tải lên_xuống khoảng 90mbps có một bộ_máy tập_thể_dục cáp đơn_giản trên nóc với cảnh đẹp khu_vực ăn sáng nhỏ và lựa_chọn cũng vậy các tủ gỗ có_vẻ như đã bị co lại không cho_phép điều_chỉnh đến nhiệt_độ phòng trước khi lắp_đặt nhưng không ảnh_hưởng đến chức_năng tôi muốn cảm_ơn quỳnh và cả hai anh hoàng đã làm_bạn với tôi trong suốt thời_gian tôi ở đây thật là một niềm vui khi được giao_tiếp với họ tôi chắc_chắn sẽ quay lại lần nữa,hard,1,1,0,0,1,1
866673633,một nhà_nghỉ đơn_giản gần bãi biển với chủ nhà tuyệt_vời cặp vợ_chồng chủ nhà rất tốt_bụng và nói được tiếng anh họ luôn thân_thiện và cố_gắng giải_quyết mọi vấn_đề cũng như trả_lời mọi câu hỏi giường hơi cứng so với tiêu_chuẩn châu_âu nhưng giá_cả rất hợp_lý một nhà_nghỉ vùng quê điển_hình và cực_kỳ sạch_sẽ cách bãi biển năm phút và tôi gần như có cả bãi biển cho riêng mình vào tháng chín,hard,1,0,0,0,1,1
626581513,tôi đặt phòng vào phút chót chỉ ở lại một đêm thôi nhưng nó vượt xa mong_đợi của tôi với bể_bơi vô_cực,random,0,0,0,0,0,1
933026548,trên ứng_dụng agoda cần minh_bạch giờ_giấc check in check out của khách check in trên ứng_dụng là 00 00 và check out là 00 00 ngày tiếp_theo nhưng thực_tế giờ check out là 12 00 khoảng thời_gian sau đó sẽ bị tính tiền theo giờ,hard,0,0,0,0,0,2
1050122299,khách_sạn có hồ bơi trên tầng thượng mặc_dù nhỏ nhưng luôn cảm_thấy thoải_mái khi tắm mát và có rất ít người sử_dụng vì_vậy chúng_tôi có khá nhiều không_gian riêng_tư tại hồ bơi phòng được dọn_dẹp hàg ngày khăn tắm bàn_chải đánh răng v v được thay_đổi được trang_bị đầy_đủ một lần mỗi ngày xin cảm_ơn chân_thành đến ban quản_lý khách_sạn,hard,1,0,0,0,1,1
1021461101,phòng sạch thoáng mát vị_trí thuận_tiện giá_cả hợp_lý,random,1,0,0,1,1,0
988419869,vị_trí rất tốt nằm ngay trung_tâm khu an thượng của đà_nẵng và ngay bên cạnh bãi biển nhân_viên rất dễ_thương rất hữu_ích phòng sạch_sẽ và có mùi dễ_chịu nó cũng rất yên_tĩnh tôi rất thích ở đây tôi có_thể ra ngoài mua thức_ăn hoặc đi đến cửa hàg và sau đó chỉ mất chưa đầy một phút để quay về phòng thêm vào đó đi bộ ra bãi biển cũng chưa đầy một phút,hard,1,0,0,1,1,1
753180294,rời biển và siêu_thị dọn_dẹp phòng sẽ,medium,1,0,0,0,0,0
